NAME,ITEM_TYPE,KIND,DATE_TAKEN,CONTRIBUTING_ARTISTS,AUTHORS,FILE_EXTENSION,PATH,MEDIA_CREATED
1_Enemydown (6),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Enemydown (6).ogg,
1_Enemydown (7),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Enemydown (7).ogg,
1_Enemydown (8),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Enemydown (8).ogg,
1_Enemydown (9),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Enemydown (9).ogg,
1_Enemydown,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Enemydown.ogg,
1_energy_bar_full (5),OGG File,,,,,,,
1_energy_bar_full,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_energy_bar_full.ogg,
1_engine_large (2),OGG File,,,,,,,
1_engine_large (3),OGG File,,,,,,,
1_engine_large,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_engine_large.ogg,
1_engine_small (2),OGG File,,,,,,,
1_engine_small.ogg,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_engine_small.ogg.ogg,
1_Envision - 2054,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Envision - 2054.ogg,
1_Envision - City,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Envision - City.ogg,
1_Envision - Fallen Trees,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Envision - Fallen Trees.ogg,
1_Envision - Polluted Waters,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Envision - Polluted Waters.ogg,
1_eraseandrewind,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_eraseandrewind.ogg,
1_Eric Burdon - It's My Life (2),OGG File,,,,,,,
1_error (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_error (2).ogg,
1_error (5),OGG File,,,,,,,
1_error (7),OGG File,,,,,,,
1_error (8),OGG File,,,,,,,
1_error,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_error.ogg,
1_Etta James - Something's Gotta A Hold On Me (2),OGG File,,,,,,,
1_Etta James  At Last (2),OGG File,,,,,,,
1_Europa Universalis III - Music of the World - A city (2),OGG File,,,,,,,
1_Europa Universalis IV - Battle of Lepanto (2),OGG File,,,,,,,
1_Europa Universalis IV - Battle of Lepanto,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Europa Universalis IV - Battle of Lepanto.ogg,
1_Europa Universalis IV - Main Theme (2),OGG File,,,,,,,
1_Europa Universalis IV - Ride Forth Victoriously (2),OGG File,,,,,,,
1_event_unlocked,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_event_unlocked.ogg,
1_exotic-birds,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_exotic-birds.ogg,
1_exotic-birds_2 (3),OGG File,,,,,,,
1_exotic-birds_2,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_exotic-birds_2.ogg,
1_exoticux (2),OGG File,,,,,,,
1_exoticux,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_exoticux.ogg,
1_explode01,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_explode01.ogg,
1_explosion (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_explosion (2).ogg,
1_explosion (3),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_explosion (3).ogg,
1_explosion (4),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_explosion (4).ogg,
1_explosion (8),OGG File,,,,,,,
1_explosion 13.51.06 13.51.06,OGG File,,,,,,,
1_explosion 13.51.06,OGG File,,,,,,,
1_explosion,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_explosion.ogg,
1_explosion1 (5),OGG File,,,,,,,
1_explosion1,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_explosion1.ogg,
1_explosion2 (3),OGG File,,,,,,,
1_explosion2 (4),OGG File,,,,,,,
1_explosion2 (5),OGG File,,,,,,,
1_explosion2,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_explosion2.ogg,
1_explosion3 (5),OGG File,,,,,,,
1_explosion3,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_explosion3.ogg,
1_explosion4 (3),OGG File,,,,,,,
1_explosion4 (4),OGG File,,,,,,,
1_explosion4 (5),OGG File,,,,,,,
1_explosion4,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_explosion4.ogg,
1_explosion5 (5),OGG File,,,,,,,
1_explosion5,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_explosion5.ogg,
1_explosion6 (2),OGG File,,,,,,,
1_explosion6,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_explosion6.ogg,
1_explosion7 (5),OGG File,,,,,,,
1_explosion7,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_explosion7.ogg,
1_explosion8 (5),OGG File,,,,,,,
1_explosion8,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_explosion8.ogg,
1_explosion9 (3),OGG File,,,,,,,
1_explosion9 (5),OGG File,,,,,,,
1_explosion9,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_explosion9.ogg,
1_extraball (3),OGG File,,,,,,,
1_extraball,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_extraball.ogg,
1_extralife (3),OGG File,,,,,,,
1_extralife,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_extralife.ogg,
1_extratime,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_extratime.ogg,
1_extreme (1),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_extreme (1).ogg,
1_extreme (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_extreme (2).ogg,
1_extreme (3),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_extreme (3).ogg,
1_extreme (4),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_extreme (4).ogg,
1_extreme (5),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_extreme (5).ogg,
1_extreme,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_extreme.ogg,
1_ex_backfire_4 (2017_12_14 01_11_46 UTC)_5ca3ce435c19f,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_ex_backfire_4 (2017_12_14 01_11_46 UTC)_5ca3ce435c19f.ogg,
1_ex_backfire_damaged_2 (2017_12_14 01_11_46 UTC)_5ca3ce435d8c4,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_ex_backfire_damaged_2 (2017_12_14 01_11_46 UTC)_5ca3ce435d8c4.ogg,
1_ezili - ocean sounds,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_ezili - ocean sounds.ogg,
1_e_organ01 (5),OGG File,,,,,,,
1_e_organ01,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_e_organ01.ogg,
1_e_piano_accord01 (4),OGG File,,,,,,,
1_e_piano_accord01 (5),OGG File,,,,,,,
1_e_piano_accord01,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_e_piano_accord01.ogg,
1_e_piano_accord02 (3),OGG File,,,,,,,
1_e_piano_accord02 (4),OGG File,,,,,,,
1_e_piano_accord02,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_e_piano_accord02.ogg,
1_F,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_F.ogg,
1_failedlevel,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_failedlevel.ogg,
1_familiar-teeth,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_familiar-teeth.ogg,
1_fan (3),OGG File,,,,,,,
1_fan,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fan.ogg,
1_farm,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_farm.ogg,
1_farm_f (2),OGG File,,,,,,,
1_farm_f,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_farm_f.ogg,
1_Fault Tec Cameras (2),OGG File,,,,,,,
1_Fault Tec Cameras,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Fault Tec Cameras.ogg,
1_Fault Tec Cameras_42,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Fault Tec Cameras_42.ogg,
1_Fenwyk  Mindrocker (2),OGG File,,,,,,,
1_Fenwyk  Mindrocker,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Fenwyk  Mindrocker.ogg,
1_fight (3),OGG File,,,,,,,
1_fight (4),OGG File,,,,,,,
1_fight (5),OGG File,,,,,,,
1_fight,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fight.ogg,
1_filter_sweep01 (4),OGG File,,,,,,,
1_filter_sweep01 (5),OGG File,,,,,,,
1_filter_sweep01,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_filter_sweep01.ogg,
1_final insurance (2),OGG File,,,,,,,
1_finish,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_finish.ogg,
1_Fire,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Fire.ogg,
1_fire1 (5),OGG File,,,,,,,
1_fire1,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fire1.ogg,
1_fire2 (4),OGG File,,,,,,,
1_fire2 (5),OGG File,,,,,,,
1_fire2 13.53.59 (2),OGG File,,,,,,,
1_fire2,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fire2.ogg,
1_fire3 (5),OGG File,,,,,,,
1_fire3,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fire3.ogg,
1_fire4 (3),OGG File,,,,,,,
1_fire4 (4),OGG File,,,,,,,
1_fire4 (5),OGG File,,,,,,,
1_fire4,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fire4.ogg,
1_fire5 (4),OGG File,,,,,,,
1_fire5 (5),OGG File,,,,,,,
1_fire5,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fire5.ogg,
1_fire6 (3),OGG File,,,,,,,
1_fire6 (4),OGG File,,,,,,,
1_fire6 (5),OGG File,,,,,,,
1_fire6,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fire6.ogg,
1_firecracker (5),OGG File,,,,,,,
1_firecracker,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_firecracker.ogg,
1_Firepunch1 (10),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch1 (10).ogg,
1_Firepunch1 (11),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch1 (11).ogg,
1_Firepunch1 (12),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch1 (12).ogg,
1_Firepunch1 (13),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch1 (13).ogg,
1_Firepunch1 (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch1 (2).ogg,
1_Firepunch1 (3),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch1 (3).ogg,
1_Firepunch1 (4),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch1 (4).ogg,
1_Firepunch1 (5),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch1 (5).ogg,
1_Firepunch1 (6),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch1 (6).ogg,
1_Firepunch1 (7),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch1 (7).ogg,
1_Firepunch1 (9),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch1 (9).ogg,
1_Firepunch1,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch1.ogg,
1_Firepunch2 (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch2 (2).ogg,
1_Firepunch2 (3),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch2 (3).ogg,
1_Firepunch2 (4),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch2 (4).ogg,
1_Firepunch2 (5),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch2 (5).ogg,
1_Firepunch2 (6),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch2 (6).ogg,
1_Firepunch2,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch2.ogg,
1_Firepunch3 (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch3 (2).ogg,
1_Firepunch3 (4),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch3 (4).ogg,
1_Firepunch3 (5),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch3 (5).ogg,
1_Firepunch3 (6),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch3 (6).ogg,
1_Firepunch3,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch3.ogg,
1_Firepunch4 (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch4 (2).ogg,
1_Firepunch4 (4),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch4 (4).ogg,
1_Firepunch4 (5),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch4 (5).ogg,
1_Firepunch4 (6),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch4 (6).ogg,
1_Firepunch4,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch4.ogg,
1_Firepunch5 (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch5 (2).ogg,
1_Firepunch5 (3),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch5 (3).ogg,
1_Firepunch5 (4),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch5 (4).ogg,
1_Firepunch5 (6),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch5 (6).ogg,
1_Firepunch5,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch5.ogg,
1_Firepunch6 (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch6 (2).ogg,
1_Firepunch6 (4),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch6 (4).ogg,
1_Firepunch6 (5),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch6 (5).ogg,
1_Firepunch6 (6),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch6 (6).ogg,
1_Firepunch6,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firepunch6.ogg,
1_fireworks_show,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fireworks_show.ogg,
1_fire_light,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fire_light.ogg,
1_Firstblood (10),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firstblood (10).ogg,
1_Firstblood (11),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firstblood (11).ogg,
1_Firstblood (12),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firstblood (12).ogg,
1_Firstblood (13),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firstblood (13).ogg,
1_Firstblood (14),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firstblood (14).ogg,
1_Firstblood (15),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firstblood (15).ogg,
1_Firstblood (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firstblood (2).ogg,
1_Firstblood (3),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firstblood (3).ogg,
1_Firstblood (4),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firstblood (4).ogg,
1_Firstblood (5),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firstblood (5).ogg,
1_Firstblood (6),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firstblood (6).ogg,
1_Firstblood (7),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firstblood (7).ogg,
1_Firstblood (8),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firstblood (8).ogg,
1_Firstblood (9),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firstblood (9).ogg,
1_Firstblood,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Firstblood.ogg,
1_fish brothers (2),OGG File,,,,,,,
1_fish_created,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fish_created.ogg,
1_fish_swim,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fish_swim.ogg,
1_fish_swim_striped,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fish_swim_striped.ogg,
1_fish_swim_wrapped,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fish_swim_wrapped.ogg,
1_fist (3),OGG File,,,,,,,
1_fist (5),OGG File,,,,,,,
1_fist,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fist.ogg,
1_fizz_bomb,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fizz_bomb.ogg,
1_fizz_bubble_1,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fizz_bubble_1.ogg,
1_fizz_bubble_2,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fizz_bubble_2.ogg,
1_fizz_bubble_3,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fizz_bubble_3.ogg,
1_fizz_burst,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fizz_burst.ogg,
1_fizz_chain_1,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fizz_chain_1.ogg,
1_fizz_chain_2,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fizz_chain_2.ogg,
1_fizz_chain_3,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fizz_chain_3.ogg,
1_fizz_chain_4,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fizz_chain_4.ogg,
1_fizz_chain_5,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fizz_chain_5.ogg,
1_fizz_flush,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fizz_flush.ogg,
1_fizz_water_level_raise,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fizz_water_level_raise.ogg,
1_flagdrop (3),OGG File,,,,,,,
1_flagdrop,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_flagdrop.ogg,
1_flagpickup (3),OGG File,,,,,,,
1_flagpickup,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_flagpickup.ogg,
1_flagreturn,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_flagreturn.ogg,
1_flagscore (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_flagscore (2).ogg,
1_flagscore (3),OGG File,,,,,,,
1_flagscore (4),OGG File,,,,,,,
1_flagscore 13.51.06,OGG File,,,,,,,
1_flagscore,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_flagscore.ogg,
1_flail (5),OGG File,,,,,,,
1_flail-miss (3),OGG File,,,,,,,
1_flail-miss (4),OGG File,,,,,,,
1_flail-miss (5),OGG File,,,,,,,
1_flail-miss,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_flail-miss.ogg,
1_flail,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_flail.ogg,
1_flame (5),OGG File,,,,,,,
1_flame-big (5),OGG File,,,,,,,
1_flame-big-miss (5),OGG File,,,,,,,
1_flame-big-miss,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_flame-big-miss.ogg,
1_flame-big,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_flame-big.ogg,
1_flame,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_flame.ogg,
1_Flawless (10),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Flawless (10).ogg,
1_Flawless (11),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Flawless (11).ogg,
1_Flawless (13),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Flawless (13).ogg,
1_Flawless (14),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Flawless (14).ogg,
1_Flawless (15),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Flawless (15).ogg,
1_Flawless (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Flawless (2).ogg,
1_Flawless (3),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Flawless (3).ogg,
1_Flawless (4),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Flawless (4).ogg,
1_Flawless (5),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Flawless (5).ogg,
1_Flawless (6),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Flawless (6).ogg,
1_Flawless (7),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Flawless (7).ogg,
1_Flawless (8),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Flawless (8).ogg,
1_Flawless (9),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Flawless (9).ogg,
1_Flawless,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Flawless.ogg,
1_flies (2),OGG File,,,,,,,
1_flies (3),OGG File,,,,,,,
1_flies,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_flies.ogg,
1_flop (5),OGG File,,,,,,,
1_flop,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_flop.ogg,
1_Florence Dupre - Concerto for Double Flutes and Orchestra in G-Major,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Florence Dupre - Concerto for Double Flutes and Orchestra in G-Major.ogg,
1_Florence Dupr - Concerto for Double Flutes and Orchestra in G-Major (2),OGG File,,,,,,,
1_Florence Dupr - Concerto for Double Flutes and Orchestra in G-Major,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Florence Dupr - Concerto for Double Flutes and Orchestra in G-Major.ogg,
1_flute01 (2),OGG File,,,,,,,
1_flute01 (3),OGG File,,,,,,,
1_flute01 (4),OGG File,,,,,,,
1_flute01,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_flute01.ogg,
1_foot3 (10),OGG File,,,,,,,
1_foot3 (7),OGG File,,,,,,,
1_foot3 (8),OGG File,,,,,,,
1_foot3 (9),OGG File,,,,,,,
1_foot3 13.54.00 13.54.00 (3),OGG File,,,,,,,
1_foot3,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_foot3.ogg,
1_footbomb_bounce (5),OGG File,,,,,,,
1_footbomb_bounce (6),OGG File,,,,,,,
1_footbomb_bounce (7),OGG File,,,,,,,
1_footbomb_bounce,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_footbomb_bounce.ogg,
1_footsteps (5),OGG File,,,,,,,
1_footsteps,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_footsteps.ogg,
1_forcefield (5),OGG File,,,,,,,
1_forcefield,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_forcefield.ogg,
1_forest (2),OGG File,,,,,,,
1_forest foundation (2),OGG File,,,,,,,
1_Forest World Map,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Forest World Map.ogg,
1_forest,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_forest.ogg,
1_forest1 (2),OGG File,,,,,,,
1_forest1 (3),OGG File,,,,,,,
1_forest1 (4),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_forest1 (4).ogg,
1_forest1,OGG File,,,,,,,
1_forest2 (2),OGG File,,,,,,,
1_forest2 (4),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_forest2 (4).ogg,
1_forest2 13.51.06,OGG File,,,,,,,
1_forest2,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_forest2.ogg,
1_forest3 (2),OGG File,,,,,.ogg,,
1_forest3 13.51.06,OGG File,,,,,,,
1_forest3,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_forest3.ogg,
1_ForestFire (2),OGG File,,,,,,,
1_ForestFire (3),OGG File,,,,,,,
1_ForestFire,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_ForestFire.ogg,
1_ForestFire_20,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_ForestFire_20.ogg,
1_forestflies,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_forestflies.ogg,
1_forestmap (3),OGG File,,,,,,,
1_forest_theme (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_forest_theme (2).ogg,
1_forest_theme,OGG File,,,,,,,
1_fortress,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fortress.ogg,
1_Four Heartbeats HQ_BeatSmith.wav,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Four Heartbeats HQ_BeatSmith.wav.ogg,
1_foxrun,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_foxrun.ogg,
1_frantic (2),OGG File,,,,,,,
1_frantic (4),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_frantic (4).ogg,
1_frantic,OGG File,,,,,,,
1_Freeway,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Freeway.ogg,
1_Freya BVs,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Freya BVs.ogg,
1_friendly_fire1 (4),OGG File,,,,,,,
1_friendly_fire1 (5),OGG File,,,,,,,
1_friendly_fire1,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_friendly_fire1.ogg,
1_friendly_fire2 (3),OGG File,,,,,,,
1_friendly_fire2 (4),OGG File,,,,,,,
1_friendly_fire2 (5),OGG File,,,,,,,
1_friendly_fire2,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_friendly_fire2.ogg,
1_friendly_fire3 (5),OGG File,,,,,,,
1_friendly_fire3,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_friendly_fire3.ogg,
1_frogs (3),OGG File,,,,,,,
1_frogs,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_frogs.ogg,
1_frog_music (2),OGG File,,,,,,,
1_frog_music,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_frog_music.ogg,
1_frosting,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_frosting.ogg,
1_frozen_hog_impact,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_frozen_hog_impact.ogg,
1_Fruit,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Fruit.ogg,
1_fuse (2),OGG File,,,,,,,
1_fuse (3),OGG File,,,,,,,
1_fuse,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_fuse.ogg,
1_G,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_G.ogg,
1_Gabriel Petre -  Eb-Major Vivace,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Gabriel Petre -  Eb-Major Vivace.ogg,
1_Gabriel Petre - Recorder Menuett in G Major,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Gabriel Petre - Recorder Menuett in G Major.ogg,
1_Gabriel Petr -  Eb-Major Vivace (2),OGG File,,,,,,,
1_Gabriel Petr - Recorder Menuett in G Major (2),OGG File,,,,,,,
1_Gabriel Petr - Recorder Menuett in G Major,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_Gabriel Petr - Recorder Menuett in G Major.ogg,
1_gamestart,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_gamestart.ogg,
1_game_over (3),OGG File,,,,,,,
1_game_over (4),OGG File,,,,,,,
1_game_over (5),OGG File,,,,,,,
