NAME,ITEM_TYPE,KIND,DATE_TAKEN,CONTRIBUTING_ARTISTS,AUTHORS,FILE_EXTENSION,PATH,MEDIA_CREATED
1_02 West_2 2_5ca0f4cdd48fa,MP3 File,,,,,,,
1_02 West_2-MP3 for Audio Podcasting_5ca0f4cde1992,MP3 File,,,,,,,
1_02 West_3 2_5ca0f4cdeea56,MP3 File,,,,,,,
1_03 copy 6 (2)_5ca0f4cf4c530,MP3 File,,,,,,,
1_12  -  (M-24),MP3 File,Music,,,,.mp3,E:\Manually Sorted\MP3\1_12  -  (M-24).mp3,
"1_13 Project - 05032016, 20.13_5ca26811c2409",MP3 File,Music,,,,.mp3,"E:\Manually Sorted\MP3\1_13 Project - 05032016, 20.13_5ca26811c2409.mp3",
1_1_1-06 Funeral Hill #1 [Guitar  Elliot Ingber],MP3 File,Music,,Captain Beefheart & The Magic Band,Captain Beefheart & The Magic Band,.mp3,E:\Manually Sorted\MP3\1_1_1-06 Funeral Hill #1 [Guitar  Elliot Ingber].mp3,
1_1_1-07 Harry Irene [Whistling  Don Van Vliet],MP3 File,Music,,Captain Beefheart & The Magic Band,Captain Beefheart & The Magic Band,.mp3,E:\Manually Sorted\MP3\1_1_1-07 Harry Irene [Whistling  Don Van Vliet].mp3,
1_l4d2_c1_pc,MP3 File,,,,,,,
1_l4d2_c2_pc,MP3 File,,,,,,,
1_l4d2_c3_pc,MP3 File,,,,,,,
1_l4d2_c4_pc,MP3 File,,,,,,,
1_l4d2_c5_pc,MP3 File,,,,,,,
1_pain_4_5aafa56b50727_5ca3cf8d257a4,MP3 File,,,,,,,
1_ Metallica - BlizzCon live Show 201,MP3 File,Music,,,,.mp3,E:\Manually Sorted\MP3\1_ Metallica - BlizzCon live Show 201.mp3,
1_(2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_(2).ogg,
1_(5),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_(5).ogg,
1_-1,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_-1.ogg,
1_-2 (1),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_-2 (1).ogg,
1_-2,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_-2.ogg,
1_0-0,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_0-0.ogg,
1_0-1,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_0-1.ogg,
1_01 A City,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_01 A City.ogg,
1_01 Dead Man's Curve,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_01 Dead Man's Curve.ogg,
1_01 England Anno 1066,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_01 England Anno 1066.ogg,
1_01 Europa Universalis IV - Main Theme,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_01 Europa Universalis IV - Main Theme.ogg,
1_01 Main Theme,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_01 Main Theme.ogg,
